ID,date,chamber,debate_num,crime,technologies,security,defence,geopolitics,energy,climate
ParlaMint-NL-en_2022-04-20-tweedekamer-13,2022-04-20,tweedekamer,13,0.14920714497566223,0.1377684324979782,0.14466743171215057,0.1413068026304245,0.14331041276454926,0.14058656990528107,0.14315322041511536
ParlaMint-NL-en_2022-04-20-tweedekamer-14,2022-04-20,tweedekamer,14,0.14078354835510254,0.141764298081398,0.14292894303798676,0.14232027530670166,0.14333434402942657,0.1440536081790924,0.14481496810913086
ParlaMint-NL-en_2022-04-20-tweedekamer-15,2022-04-20,tweedekamer,15,0.1454463005065918,0.1407122164964676,0.1390271633863449,0.1426761895418167,0.14237691462039948,0.1449955850839615,0.14476566016674042
ParlaMint-NL-en_2022-04-20-tweedekamer-3,2022-04-20,tweedekamer,3,0.1428011953830719,0.1433756798505783,0.14410628378391266,0.14315280318260193,0.14132876694202423,0.14325736463069916,0.14197789132595062
ParlaMint-NL-en_2022-04-20-tweedekamer-4,2022-04-20,tweedekamer,4,0.14455966651439667,0.1483091413974762,0.142957404255867,0.13948304951190948,0.14306336641311646,0.14014969766139984,0.14147762954235077
ParlaMint-NL-en_2022-04-20-tweedekamer-5,2022-04-20,tweedekamer,5,0.14106568694114685,0.14700934290885925,0.1426606923341751,0.13904806971549988,0.1471892148256302,0.14052243530750275,0.1425045132637024
ParlaMint-NL-en_2022-04-20-tweedekamer-6,2022-04-20,tweedekamer,6,0.14802947640419006,0.14021171629428864,0.14152464270591736,0.14282912015914917,0.1415291279554367,0.1434531807899475,0.14242272078990936
ParlaMint-NL-en_2022-04-20-tweedekamer-7,2022-04-20,tweedekamer,7,0.14409087598323822,0.14072555303573608,0.13995961844921112,0.14182455837726593,0.14957261085510254,0.14013861119747162,0.14368818700313568
ParlaMint-NL-en_2022-04-20-tweedekamer-8,2022-04-20,tweedekamer,8,0.14309915900230408,0.14278480410575867,0.14380474388599396,0.14119067788124084,0.14044880867004395,0.14230899512767792,0.14636282622814178
ParlaMint-NL-en_2022-04-21-tweedekamer-10,2022-04-21,tweedekamer,10,0.1439245194196701,0.14350050687789917,0.14073508977890015,0.14119277894496918,0.14684177935123444,0.13990330696105957,0.14390212297439575
